排名,电影名,导演,编剧,发行地区,公司,更多片名
84,乔瓦尼之岛( 2014 ),西久保瑞穗,杉田成道,日本,Production I.G.,[]
85,夏目友人帐( 2018 ),大森贵弘,绿川幸,日本,Aniplex,剧场版 夏目友人帐
86,火影忍者剧场版1：拯救雪国公主( 2004 ),冈村天斋,岸本齐史,日本,东宝国际,火影忍者剧场版1：雪姬忍法帖
87,樱桃小丸子 来自意大利的少年( 2016 ),高木淳,樱桃子,日本,中国电影集团公司,樱桃小丸子：从意大利来的少年
88,在这世界的角落( 2016 ),片渊须直,片渊须直,日本,日本东京剧场株式会社,谢谢你，在世界角落中找到我
89,太阳王子( 1968 ),高畑勋,深泽一夫,日本,American International Pictures (AIP),[]
90,海贼王电影版2000：黄金岛的冒险( 2000 ),志水淳儿,尾田荣一郎,日本,Toei Films,航海王：黄金岛大冒险
91,魔神Z( 2018 ),志水淳儿,永井豪,日本,东映株式会社,剧场版无敌铁金刚INFINITY
92,圣斗士星矢：圣域传说( 2014 ),佐藤敬一,车田正美,日本,中国电影集团公司,圣斗士星矢 Legend of Sanctuary
93,未来的未来( 2018 ),细田守,细田守,日本,Nippon Television Network (NTV),[]
